id,alias,aliases,price_num,price_num_imputado,phone,address,rating,review_count,transactions,image_url,url,location.zip_code,coordinates.longitude,coordinates.latitude
qjnpkS8yZO8xcyEIy5OU9A,girl-and-the-goat-chicago,"['newamerican', 'bars', 'bakeries']",3,False,13124926262,809 W Randolph,4.4,10509,['delivery'],https://s3-media0.fl.yelpcdn.com/bphoto/ya6gjD4BPlxe7AKMj_5WsA/o.jpg,https://www.yelp.com/biz/girl-and-the-goat-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60607,-87.64794613195826,41.88419277030351
boE4Ahsssqic7o5wQLI04w,the-purple-pig-chicago,"['tapasmallplates', 'mediterranean', 'newamerican']",3,False,13124641744,444 N Michigan Ave,4.3,8854,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/rHHvhRF8QPjee5B7c54jzw/o.jpg,https://www.yelp.com/biz/the-purple-pig-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60611,-87.624782,41.890694
gzhkdb6YoiFm5s3vriG1AA,gretel-chicago,"['cocktailbars', 'newamerican', 'speakeasies']",2,False,17737703427,2833 W Armitage Ave,4.5,415,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/-dxigk6aymnMlFvQ4xrQmg/o.jpg,https://www.yelp.com/biz/gretel-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60647,-87.698577,41.917275
riT822EnU7y_5eCuJsd9sA,cindys-rooftop-chicago,"['newamerican', 'seafood', 'breakfast_brunch']",2,False,13127923502,12 S Michigan Ave,4.1,2715,['delivery'],https://s3-media0.fl.yelpcdn.com/bphoto/XLdHyZLsRMogjR4GNWCe-A/o.jpg,https://www.yelp.com/biz/cindys-rooftop-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60603,-87.6250061730162,41.8816894031196
GZsrGq6H8CQ4YlGtE_Bm0Q,ciccio-mio-chicago-2,['italian'],3,False,13127963316,226 W Kinzie,4.7,577,['delivery'],https://s3-media0.fl.yelpcdn.com/bphoto/eFIrEMfnmALCGrR1gSJKLQ/o.jpg,https://www.yelp.com/biz/ciccio-mio-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60654,-87.63524,41.88939
cgIuo3geaxw1Sfhbqm5qTA,alla-vita-chicago-4,['italian'],3,False,13126670104,564 W Randolph St,4.4,740,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/X4XMxKMr4FfFdplvdP1BjA/o.jpg,https://www.yelp.com/biz/alla-vita-chicago-4?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60661,-87.642322,41.88468
9nUrDQ_REhU6sgcgXFAyfA,aba-chicago-2,"['mediterranean', 'tapasmallplates']",3,False,17736451400,"302 N Green St, Fl 3",4.4,1857,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/CeQacWWhLEiFBYw2piRozA/o.jpg,https://www.yelp.com/biz/aba-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60607,-87.6487949,41.8869441
PZe0q_153VHUnaR-8dOTJg,the-dearborn-chicago-2,"['newamerican', 'breakfast_brunch', 'beer_and_wine']",2,False,13123841242,145 N Dearborn St,4.4,2605,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/eSXeGiq2bRUjy7KOER4jeg/o.jpg,https://www.yelp.com/biz/the-dearborn-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60602,-87.6293151,41.8842528
VPJk-SEWSWS_nGoQvM-COw,penumbra-chicago,"['wine_bars', 'seafood', 'steak']",3,False,17737722343,3309 W Fullerton Ave,4.8,995,"['restaurant_reservation', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/IlSPQKhzbs2s0g7Cxshlmg/o.jpg,https://www.yelp.com/biz/penumbra-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60647,-87.710898,41.924459
ZXsqdTNHSqxBxCXcbmOiLA,bigsuda-chicago,"['asianfusion', 'korean', 'noodles']",2,True,18722068678,1362 N Milwaukee Ave,4.5,44,[],https://s3-media0.fl.yelpcdn.com/bphoto/Yb2j5vOw3H-Mu_0dfAtiQA/o.jpg,https://www.yelp.com/biz/bigsuda-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60622,-87.671742,41.906445
1BHgaf25FpVSOXFpZF0pYw,trivoli-tavern-chicago,['tradamerican'],3,False,13123662646,114 N Green St,4.5,839,['delivery'],https://s3-media0.fl.yelpcdn.com/bphoto/kMNBfN-NjwMPEeAQwo0Qrg/o.jpg,https://www.yelp.com/biz/trivoli-tavern-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60607,-87.64903867652058,41.8837221888722
m5gfWEQI7BYTKWMYF-X-Ug,no-vacancy-chicago,"['newamerican', 'wine_bars', 'venues']",2,False,13125006666,509 N Wells St,4.6,149,[],https://s3-media0.fl.yelpcdn.com/bphoto/Jk2yAguTafL3bD_8ZXWcyw/o.jpg,https://www.yelp.com/biz/no-vacancy-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60654,-87.63375,41.89115
xoi7Cw7FoknAx5p880RtWQ,au-cheval-chicago,"['bars', 'burgers', 'tradamerican']",2,False,13129294580,800 W Randolph St,4.4,9323,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/vKY9dRK2GM6eQDP-Cxg_tw/o.jpg,https://www.yelp.com/biz/au-cheval-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60607,-87.647668,41.88466
xFBQ1md6PDm7YEpJARoxAA,the-vig-chicago-chicago-2,"['tradamerican', 'cocktailbars', 'breakfast_brunch']",2,False,13129822186,1527 N Wells St,4.1,905,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/LTJQDXJAzGTfUuyRbhsb4A/o.jpg,https://www.yelp.com/biz/the-vig-chicago-chicago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60610,-87.6345035,41.9099251
1Q7RL7Hc63wKa2A9ec3zXw,il-porcellino-chicago,"['italian', 'bars', 'salad']",2,False,13125950800,59 W Hubbard St,4.4,1645,"['pickup', 'delivery']",https://s3-media0.fl.yelpcdn.com/bphoto/zrAfaD2GsQLkel9UZAjZdg/o.jpg,https://www.yelp.com/biz/il-porcellino-chicago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug,60654,-87.63029733223148,41.88996108569464
